Approximate vocal-track candidates from CLAP text/audio contrast
Database: C:\db\abstracted.sqlite
Tracks with CLAP embeddings: 61355
Threshold: top 5% score >= -0.033566
Selected: 3068
Score = max(vocal prompt similarity) - max(instrumental prompt similarity)

score	id	title	maest_top_labels	path
0.137212	16437	Nina Kraviz - tarde (u.r.trax popstar rework)	Progressive Breaks, Dance-pop, Synth-pop	M:/Volumes/Abstracted/10001-20000/Nina Kraviz - tarde (u.r.trax popstar rework).flac
0.136012	20377	Ageless - B3 A Waking Dream (Acapella) VINYL ONLY	House, Ambient, Deep House	M:/Volumes/Abstracted/20001-30000/Ageless A Waking Dream Acapella Waking Dreams.aiff
0.135970	34876	Frankie Knuckles - Bad Boy	Disco, Synth-pop, House	M:/Volumes/Abstracted/30001-40000/Frankie Knuckles - Bad Boy.flac
0.134957	54996	Frustration - Dying City	Electroclash, Electro, Synth-pop	M:/Volumes/Avantgarde/MP3/Various Artists - DYING CITIES REMIX [2018]/01 - Frustration - Dying City.mp3
0.134943	13796	Goldwill feat. The Lazarusman - When We When We Hug	Ambient, Experimental, Drum n Bass	M:/Volumes/Abstracted/10001-20000/Goldwill feat. The Lazarusman - When We - 03 When We Hug.wav
0.134489	20238	A Mountain of One - Black Apple Pink Apple (Ricardo Villalobos Remix)	Deep House, House, Downtempo	M:/Volumes/Abstracted/20001-30000/A Mountain of One Black Apple Pink Apple Ricardo Villalobos Remix.aiff
0.133715	571	AMADEEZY - No Panties	Thug Rap, Trap, Gangsta	M:/Volumes/Abstracted/00001-10000/AMADEEZY - No Panties (Original Mix).wav
0.132318	31285	The Frozen Autumn - Sirens And Stargazers	Synth-pop, Minimal, Darkwave	M:/Volumes/Abstracted/30001-40000/08 - Sirens And Stargazers.flac
0.131954	9861	Z-Ro, Mussilini - Wake Up	Gangsta, Thug Rap, Screw	M:/Volumes/Abstracted/00001-10000/Z-Ro, Mussilini - Wake Up.flac
0.131645	9749	WHOBEJAZZZ - AVAILABLE	Downtempo, Trip Hop, Broken Beat	M:/Volumes/Abstracted/00001-10000/WHOBEJAZZZ - AVAILABLE.wav
0.129881	28004	Silverlining - ▞ □ Recognitia	Downtempo, Future Jazz, House	M:/Volumes/Abstracted/20001-30000/Silverlining - Simulacra - 07 ▞ □ Recognitia.flac
0.127427	12916	Broken English Club - Drowning Song	Hardcore, Gabber, Speedcore	M:/Volumes/Abstracted/10001-20000/Drowning Song.flac
0.127211	38320	Sade - Smooth Operator (Single Version)	Synth-pop, Soul, Downtempo	M:/Volumes/Abstracted/30001-40000/Sade - Smooth Operator ( Version).flac
0.127204	10218	Asha Puthli - Right Down Here (Psychemagik Remix)	Downtempo, Electro, Dub	M:/Volumes/Abstracted/10001-20000/05 Asha Puthli - Right Down Here (Psychemagik ).wav
0.125530	4099	Martyn Bootyspoon - Ice Cream Mane	Grime, Trap, Grime	M:/Volumes/Abstracted/00001-10000/Ice Cream Mane.flac
0.125073	43893	Leon Vynehall - Worm (& Closer & Closer)	Ambient, Experimental, Dub Techno	M:/Volumes/Albums/Leon Vynehall - Rare, Forever (Ninja Tune).FLAC/06-Leon Vynehall - Worm (& Closer & Closer).flac
0.124491	31091	Bomb The Bass - Bug Powder Dust (K&D Session)	Downtempo, Trip Hop, Dub	M:/Volumes/Abstracted/30001-40000/05 Bomb The Bass Kruder & Dorfmeister The K&D Sessions TM Bug Powder.wav
0.123159	30667	Hayden Andre Presents Subculture - The Voyage (Radio Mix)	House, Deep House, Acid House	M:/Volumes/Abstracted/30001-40000/03 Hayden Andre Presents Subculture The Voyage (Radio Mix).flac
0.123073	15132	83510 - Legalize It (bongo version)	Roots Reggae, Dub, Reggae	M:/Volumes/Abstracted/10001-20000/Legalize It (bongo version).flac
0.122632	16792	Ovum Recordings - 2001 - SNS Project - Give Us Hope Acappella	House, Deep House, Tribal House	M:/Volumes/Abstracted/10001-20000/Ovum Recordings OVUM 303 21 2001 SNS Project Give Us Hope Acappella.aiff
0.122565	8615	The Fitness, Pony - Sex I'm an Addict (Afriqua Remix)	Electro, Electro, Bass Music	M:/Volumes/Abstracted/00001-10000/The Fitness, Pony Sex I m an Addict Afriqua Remix SCRLP08.flac
0.121562	38630	Kassa Overall, Laura Mvula, Francis and the Lights - So Happy	Electro, Contemporary R&B, Pop Rap	M:/Volumes/Abstracted/30001-40000/So Happy - Kassa Overall.flac
0.121232	14112	House Gospel Choir - Most Precious Love	House, Electro House, Gospel	M:/Volumes/Abstracted/10001-20000/House Gospel Choir - Most Precious Love.wav
0.120761	43342	Elbee Bad - New Age House	Progressive House, Progressive Trance, Tribal House	M:/Volumes/Albums/Carl_Craig_+_Sonja_Moonear_Cocoon_In_The_Mix_2016_CD_FLAC_Copie/2-01. Elbee Bad - New Age House.flac
0.120687	30924	Rockers Hi-Fi - Going Under (Main Version) (K&D Session)	Downtempo, Trip Hop, Dub	M:/Volumes/Abstracted/30001-40000/04 Rocker's Hi Fi Kruder & Dorfmeister The K&D Sessions TM Going.wav
0.120683	10249	100Hz - Sex With Strangers	House, Breaks, Downtempo	M:/Volumes/Abstracted/10001-20000/100Hz - Sex With Strangers.wav
0.119705	39882	Yello - Oh Yeah (Indian Summer Mix / Remastered 2005)	Electro, Synth-pop, House	M:/Volumes/Abstracted/30001-40000/Yello - Oh Yeah (Indian Summer Mix Remastered 2005).flac
0.119388	58407	Joe Goddard feat. Kool Keith - Pull the Plug	Electro, Electro, Techno	M:/Volumes/Avantgarde/MP3/Various Artists - PULL THE PLUG EP FEAT. KOOL KEITH [2019]/03 - Joe Goddard feat. Kool Keith - Pull the Plug.mp3
0.118432	61856	Funky People feat. Cassio Ware - Funky People	House, Garage House, Deep House	M:/Volumes/Avantgarde/MP3/Various Artists Pt.2 - FABRIC PRESENTS THE MARTINEZ BROTHERS [2019]/01 - Funky People feat. Cassio Ware - Funky People.mp3
0.117912	47918	i_o - Something	Electro House, Bassline, House	M:/Volumes/Avantgarde/MP3/i_o - FATAL ERROR [2018]/01 - i_o - Something.mp3
0.117532	16439	Nina Kraviz - tarde (vladimir dubyshkin remix)	Trance, Neo Trance, Psy-Trance	M:/Volumes/Abstracted/10001-20000/Nina Kraviz - tarde (vladimir dubyshkin remix).flac
0.117430	59480	Rufus Du Sol - Underwater	Deep House, Progressive House, Neo Trance	M:/Volumes/Avantgarde/MP3/Various Artists - SOLACE REMIXES VOL. 2 [2018]/02 - Rufus Du Sol - Underwater.mp3
0.116011	49409	Mr Raoul K feat. Ahmed Sosso - Touman (Right Time)	African, Deep House, House	M:/Volumes/Avantgarde/MP3/Mr Raoul K - TOUMAN (RIGHT TIME) FEAT. AHMED SOSSO [2019]/01 - Mr Raoul K feat. Ahmed Sosso - Touman (Right Time).mp3
0.115500	174	222samples octave FX-3	Experimental, Electro, House	M:/Volumes/Abstracted/00001-10000/222samples octave FX-3.wav
0.114971	13832	Gucci Mane - Freaky Girl	Gangsta, Thug Rap, Screw	M:/Volumes/Abstracted/10001-20000/Gucci Mane - Freaky Girl.flac
0.114355	44611	Persian - Morning Sun feat. Hannah Small	Downtempo, Breakbeat, Trip Hop	M:/Volumes/Albums/VA - The Sound Of Love International #003 - Shanti Celeste/06 - Morning Sun feat. Hannah Small.flac
